"ID","Category","Name","Method","MethodArgument","RegistryPath","RegistryItem","ClassName","Namespace","Property","DefaultValue","RecommendedValue","Operator","Severity","UIX Impact","Use","Mode","Intro","Link for more infos","Tags","Consequences ","Advice","Notes","Comment","Possible values","OS"
"1205","User Rights Assignment","Deny log on as a service","accesschk","SeDenyServiceLogonRight","","","","","","","BUILTIN\Guests","=","Medium","1","","","This policy setting determines <b>which users are prevented from logging on to the service applications on a device.</b>
A service is an application type that runs in the system background <b>without a user interface.</b> It provides core operating system features, such as web serving, event logging, file serving, printing, cryptography, and error reporting.","https://docs.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/deny-log-on-as-a-service","","If you assign the Deny log on as a service user right to specific accounts, <b>services may not start and a denial-of-service condition could result.</b>","->When you assign this user right, thoroughly <b>test that the effect is what you intended.</b>
->Within a domain, modify this setting on the applicable Group Policy Object (GPO).","","","List : User-defined list of accounts","Windows 10"
"1206","User Rights Assignment","Deny log on through Remote Desktop Services","accesschk","SeDenyRemoteInteractiveLogonRight","","","","","","","BUILTIN\Guests;NT AUTHORITY\Local account","=","Medium","1","","","This policy setting determines <b>which users are prevented from logging on to the device through a Remote Desktop connection through Remote Desktop Services.</b> It is possible for a user to establish a Remote Desktop connection to a particular server, but not be able to log on to the console of that server.","https://docs.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/deny-log-on-through-remote-desktop-services","","If you assign the <b>Deny log on</b> through <b>Remote Desktop Services</b> user right to other groups, <b>you could limit the abilities of users</b> who are assigned to specific administrative roles in your environment. Accounts that have this user right cannot connect to the device through Remote Desktop Services or Remote Assistance. 
<b>You should confirm that delegated tasks are not negatively affected.</b>","To control who can open a <b>Remote Desktop</b> connection and log on to the device, add the user account to or remove user accounts from the <b>Remote Desktop Users</b> group.","","","List : User-defined list of accounts","Windows 10"
"1300","Security Options","Accounts: Block Microsoft accounts","Registry","","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","NoConnectedUser","","","","0","3","=","Low","2","0","StrongBox","This setting prevents using the Settings app to add a Microsoft account for single sign-on (SSO) authentication for Microsoft services and some background services, or using a Microsoft account for single sign-on to other applications or services.","https://docs.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/accounts-block-microsoft-accounts","Microsoft accounts;","There are two options if this setting is enabled:
->Users can’t add Microsoft accounts means that existing connected accounts can still sign in to the device (and appear on the Sign in screen). However, users cannot use the Settings app to add new connected accounts (or connect local accounts to Microsoft accounts).
->Users can’t add or log on with Microsoft accounts means that users cannot add new connected accounts (or connect local accounts to Microsoft accounts) or use existing connected accounts through Settings.","->By disabling or not configuring this policy setting on the client computer, users will be able to use their Microsoft account, local account, or domain account for their sign-in session to Windows. It also enables the user to connect a local or domain account to a Microsoft account. This provides a convenient option for your users.
->If you need to limit the use of Microsoft accounts in your organization, click the Users can’t add Microsoft accounts setting option so that users will not be able to use the Settings app to add new connected accounts.","If you disable or do not configure this policy (recommended), users will be able to use Microsoft accounts with Windows.","","Number : 0 (Not defined); 1 (This policy is disabled);2 (Users can’t add Microsoft accounts);3 (Users can’t add or log on with Microsoft accounts)",""
"1301","Security Options","Audit: Force audit policy subcategory settings to override audit policy category settings","Registry","","HKLM:\System\CurrentControlSet\Control\Lsa","SCENoApplyLegacyAuditPolicy","","","","","1","=","Low","1","","Enterprise","You can manage your audit policy in a <b>more precise way by using audit policy subcategories.</b>","https://docs.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/audit-force-audit-policy-subcategory-settings-to-override","Audit;","If you attempt to modify an audit setting by using <b>Group Policy</b> after enabling this setting through the command-line tools, the Group Policy audit setting is ignored in favor of the custom policy setting. <b>To modify audit settings by using Group Policy, you must first disable the SCENoApplyLegacyAuditPolicy key.</b>","Leave the setting enabled. This provides the ability to audit events at the category level without revising a policy.","Be very cautious about audit settings that can generate a large volume of traffic. For example, if you enable success or failure auditing for all of the Privilege Use subcategories, the high volume of audit events that are generated can make it difficult to find other types of entries in the security event log.
 <b>Such a configuration could also have a significant impact on system performance.</b>","","Number : 1 (Enable);0 (Disable);Not defined",""
"1302","Security Options","Interactive logon: Do not require CTRL+ALT+DEL","Registry","","HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System","DisableCAD","","","","1","0","=","Low","2","0","StrongBox","This security setting determines <b>whether pressing CTRL+ALT+DEL is required before a user can log on.</b>
->If this policy setting is <b>enabled</b> on a device, <b>a user is not required to press CTRL+ALT+DEL to log on.</b>
->If this policy is <b>disabled</b>, <b>any user is required to press CTRL+ALT+DEL before logging on</b> to the Windows operating system (unless they are using a smart card for logon).","https://docs.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/interactive-logon-do-not-require-ctrl-alt-del","Interactive logon","Unless they use a smart card to log on, users must simultaneously press the three keys before the logon dialog box is displayed.","We recommend that you set Disable CTRL+ALT+DEL requirement for logon to <b>Not configured</b>.","","","Number : 1 (Enable);0 (Disable);Not defined",""
"1303","Security Options","Interactive logon: Don't display last signed-in","Registry","","HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System","DontDisplayLastUserName","","","","0","1","=","Low","2","0","StrongBox","This security policy setting determines <b>whether the name of the last user to log on to the device is displayed on the Secure Desktop.</b>
->If this policy is enabled, the full name of the last user to successfully log on is not displayed on the Secure Desktop, nor is the user’s logon tile displayed. Additionally, if the Switch user feature is used, the full name and logon tile are not displayed. The logon screen requests a qualified domain account name (or local user name) and password.
->If this policy is disabled, the full name of the last user to log on is displayed, and the user’s logon tile is displayed. This behavior is the same when the Switch user feature is used.","https://docs.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/interactive-logon-do-not-display-last-user-name","Interactive logon","Users <b>must always type their user names and passwords when they log on locally or to the domain.</b> The logon tiles of all logged on users are not displayed.","Your implementation of this policy depends on your security requirements for displayed logon information. If you have devices that store sensitive data, with monitors displayed in unsecured locations, or if you have devices with sensitive data that are remotely accessed, revealing logged on user’s full names or domain account names might contradict your overall security policy.","","","Number : 1 (Enable);0 (Disable)",""
"1304","Security Options","Interactive logon: Don't display username at sign-in","Registry","","HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System","DontDisplayUserName","","","","0","1","=","Low","2","","StrongBox","This security policy setting determines <b>whether the username is displayed during sign in.</b> This setting only affects the Other user tile.
->If the policy is enabled and a user signs in as Other user, the full name of the user is not displayed during sign-in. In the same context, if users type their email address and password at the sign in screen and press Enter, the displayed text “Other user” remains unchanged, and is no longer replaced by the user’s first and last name, as in previous versions of Windows 10. Additionally,if users enter their domain user name and password and click Submit, their full name is not shown until the Start screen displays.
->If the policy is disabled and a user signs in as Other user, the “Other user” text is replaced by the user’s first and last name during sign-in.","https://docs.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/interactive-logon-dont-display-username-at-sign-in","Interactive logon","Users <b>must always type their usernames and passwords when they log on locally or to the domain.</b> The logon tiles of all logged on users are not displayed.","Your implementation of this policy depends on your security requirements for displayed logon information. If you have devices that store sensitive data, with monitors displayed in unsecured locations, or if you have devices with sensitive data that are remotely accessed, revealing logged on user’s full names or domain account names might contradict your overall security policy.","","","Number : 1 (Enable);0 (Disable)",""
"1305","Security Options","Microsoft network client: Digitally sign communications (always)","Registry","","HKLM:\System\CurrentControlSet\Services\LanmanWorkstation\Parameters","RequireSecuritySignature","","","","0","1","=","Medium","1","0","Enterprise","The Server Message Block (SMB) protocol provides the basis for file and print sharing and many other networking operations, such as remote Windows administration. To prevent ‘man-in-the-middle’ attacks that modify SMB packets in transit, the SMB protocol supports digital signing of SMB packets.
<b>Implementation of digital signatures in high-security networks helps prevent the impersonation of client computers and servers, which is known as ‘session hijacking’. </b> Misuse of these policy settings is a common error that can cause data access failure.","https://docs.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/microsoft-network-client-digitally-sign-communications-always","Network;Client;Communication","Storage speeds affect performance. A faster drive on the source and destination allows more throughput, which causes more CPU usage for signing. If you're using a 1-Gb Ethernet network or slower storage speed with a modern CPU, there's limited degradation in performance. If you're using a faster network (such as 10 Gb), the performance impact of signing may be greater.","Enable Microsoft network client: Digitally sign communications (always).","","","Number : 1 (Enable);0 (Disable)",""
"1306","Security Options","Microsoft network client: Digitally sign communications (if server agrees)","Registry","","HKLM:\System\CurrentControlSet\Services\LanmanWorkstation\Parameters","EnableSecuritySignature","","","","1","1","=","Medium","1","0","Enterprise","For this policy to take effect on computers running Windows 2000, client-side packet signing must also be enabled. To enable client-side SMB packet signing, set Microsoft network client: Digitally sign communications (if server agrees). Computers that have this policy set will not be able to communicate with computers that do not have server-side packet signing enabled. By default, server-side packet signing is enabled only on domain controllers running Windows 2000, Windows Server 2003, Windows Server 2008, and Windows Server 2008 R2. Server-side packet signing can be enabled on these computers by setting Microsoft network server: Digitally sign communications (if client agrees).","https://docs.microsoft.com/en-us/previous-versions/windows/it-pro/windows-server-2012-r2-and-2012/jj852251(v=ws.11)","Network;Client;Communication","Implementation of SMB signing may negatively affect performance because each packet must be signed and verified. If these settings are enabled on a server that is performing multiple roles, such as a small business server that is serving as a domain controller, file server, print server, and application server, performance may be substantially slowed. Additionally, if you configure computers to ignore all unsigned SMB communications, older applications and operating systems cannot connect. However, if you completely disable all SMB signing, computers are vulnerable to session-hijacking attacks.","
->Configure the following security policy settings as follows:
->Disable Microsoft Network Client: Digitally Sign Communications (Always).
->Disable Microsoft Network Server: Digitally Sign Communications (Always).
->Enable Microsoft Network Client: Digitally Sign Communications (If Server Agrees).
->Enable Microsoft Network Server: Digitally Sign Communications (If Client Agrees).
->Alternately, you can set all of these policy settings to Enabled, but enabling them can cause slower performance on client computers and prevent them from communicating with legacy SMB applications and operating systems.","Using SMB packet signing can impose up to a 15 percent performance degradation on file service transactions.","","Number : 1 (Enable);0 (Disable);Not defined",""
"1307","Security Options","Microsoft network server: Digitally sign communications (always)","Registry","","HKLM:\System\CurrentControlSet\Services\LanManServer\Parameters","RequireSecuritySignature","","","","0","1","=","Medium","1","","Enterprise","","https://docs.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/microsoft-network-server-digitally-sign-communications-always","Network;Server;Communication","","","","","",""
"1308","Security Options","Microsoft network server: Digitally sign communications (if client agrees)","Registry","","HKLM:\System\CurrentControlSet\Services\LanManServer\Parameters","EnableSecuritySignature","","","","0","1","=","Medium","?","","","","","Network;Server;Communication","","","","","",""
"1309","Security Options","Network access: Do not allow anonymous enumeration of SAM accounts","Registry","","HKLM:\System\CurrentControlSet\Control\Lsa","RestrictAnonymousSAM","","","","1","1","=","Medium","?","","","This policy setting determines <b>which additional permissions will be assigned for anonymous connections to the device.</b> Windows allows anonymous users to perform certain activities, such as enumerating the names of domain accounts and network shares. 
 This is convenient, for example, when an administrator wants to give access to users in a trusted domain that does not maintain a reciprocal trust.","https://docs.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/network-access-do-not-allow-anonymous-enumeration-of-sam-accounts","","It is impossible to grant access to users of another domain across a one-way trust because administrators in the trusting domain are unable to enumerate lists of accounts in the other domain. Users who access file and print servers anonymously are unable to list the shared network resources on those servers; the users must be authenticated before they can view the lists of shared folders and printers.","","","","Number : 1 (Enable);0 (Disable);Not defined","Windows 10"
"1310","Security Options","Network access: Do not allow anonymous enumeration of SAM accounts and shares","Registry","","HKLM:\System\CurrentControlSet\Control\Lsa","RestrictAnonymous","","","","0","1","=","Medium","?","","","This policy setting determines <b>which additional permissions will be assigned for anonymous connections to the device.</b> Windows allows anonymous users to perform certain activities, such as enumerating the names of domain accounts and network shares. 
This is convenient, for example, when an administrator wants to give access to users in a trusted domain that does not maintain a reciprocal trust. However, even with this policy setting enabled, anonymous users will have access to resources with permissions that explicitly include the built-in group, ANONYMOUS LOGON.","https://docs.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/network-access-do-not-allow-anonymous-enumeration-of-sam-accounts-and-shares","","It is impossible to grant access to users of another domain across a one-way trust because administrators in the trusting domain are unable to enumerate lists of accounts in the other domain. Users who access file and print servers anonymously are unable to list the shared network resources on those servers; the users must be authenticated before they can view the lists of shared folders and printers.","","This policy setting has no impact on domain controllers. Misuse of this policy setting is a common error that can cause data loss or problems with data access or security.","","Number : 1 (Enable);0 (Disable);Not defined","Windows 10"
"1311","Security Options","Network access: Do not allow storage of passwords and credentials for network authentication","Registry","","HKLM:\System\CurrentControlSet\Control\Lsa","DisableDomainCreds","","","","0","1","=","Medium","1","","","This security setting determines <b>whether Credential Manager saves passwords and credentials for later use when it gains domain authentication.</b>","https://docs.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/network-access-do-not-allow-storage-of-passwords-and-credentials-for-network-authentication","","Users are forced to type passwords whenever they log on to their Microsoft Account or other network resources that are not accessible to their domain account. <b>This policy setting should have no impact on users who access network resources that are configured to allow access with their Active Directory–based domain account.</b>","It is a recommended practice to disable the ability of the Windows operating system to cache credentials on any device where credentials are not needed. Evaluate your servers and workstations to determine the requirements. Cached credentials are designed primarily to be used on laptops that require domain credentials when disconnected from the domain.","","","Number : 1 (Enable);0 (Disable);Not defined","Windows 10"
"1312","Security Options","Network security: Allow LocalSystem NULL session fallback","Registry","","HKLM:\System\CurrentControlSet\Control\Lsa\MSV1_0","allownullsessionfallback","","","","0","0","=","Medium","?","","","This policy affects session security during the authentication process between devices running Windows Server 2008 R2 and Windows 7 and later and those devices running earlier versions of the Windows operating system. 
For computers running Windows Server 2008 R2 and Windows 7 and later, services running as Local System require a service principal name (SPN) to generate the session key. 
However, if <b> Network security: Allow Local System to use computer identity for NTLM</b> is set to disabled, services running as Local System will fall back to using NULL session authentication when they transmit data to servers running versions of Windows earlier than Windows Vista or Windows Server 2008.
 NULL session does not establish a unique session key for each authentication; and thus, it cannot provide integrity or confidentiality protection. The setting Network security: Allow LocalSystem NULL session fallback determines whether services that request the use of session security are allowed to perform signature or encryption functions with a well-known key for application compatibility.","https://docs.microsoft.com/fr-fr/windows/security/threat-protection/security-policy-settings/network-security-allow-localsystem-null-session-fallback","","If you enable this policy, services that use NULL session with Local System could fail to authenticate because they will be prohibited from using signing and encryption.","When services connect with the device identity, signing and encryption are supported to provide data protection. When services connect with a NULL session, this level of data protection is not provided. However, you will need to evaluate your environment to determine the Windows operating system versions that you support. If this policy is enabled, some services may not be able to authenticate.","","","Number : 1 (Enable);0 (Disable);Not defined","Windows 10"
"1313","Security Options","Network security: LAN Manager authentication level","Registry","","HKLM:\System\CurrentControlSet\Control\Lsa","LmCompatibilityLevel","","","","3","5","=","Medium","1","","","This policy setting determines <b>which challenge or response authentication protocol is used for network logons.</b> LAN Manager (LM) includes client computer and server software from Microsoft that allows users to link personal devices together on a single network. Network capabilities include transparent file and print sharing, user security features, and network administration tools. In Active Directory domains, the Kerberos protocol is the default authentication protocol. However, if the Kerberos protocol is not negotiated for some reason, Active Directory uses LM, NTLM, or NTLM version 2 (NTLMv2).","https://docs.microsoft.com/fr-fr/windows/security/threat-protection/security-policy-settings/network-security-lan-manager-authentication-level","","Client devices that do not support NTLMv2 authentication cannot authenticate in the domain and access domain resources by using LM and NTLM.","","->0 : Send LM & NTLM responses
->1 : Send LM & NTLM - use NTLMv2 session security if negotiated
->2 : Send NTLM responses only;
->3 : Send NTLMv2 responses only
->4 : Send NTLMv2 responses only. Refuse LM
->5 : Send NTLMv2 responses only. Refuse LM & NTLM","","Number : 0-5;Not Defined","Windows 10"
"1314","Security Options","Network security: LDAP client signing requirements","Registry","","HKLM:\System\CurrentControlSet\Services\LDAP","LDAPClientIntegrity","","","","1","1",">=","Medium","1","","","This policy setting determines the level of data signing that is requested on behalf of client devices that issue LDAP BIND requests. The levels of data signing are described in the following list:
-><b>None.</b> The LDAP BIND request is issued with the caller-specified options.
-><b>Negotiate signing.</b> If Transport Layer Security/Secure Sockets Layer (TLS/SSL) has not been started, the LDAP BIND request is initiated with the LDAP data signing option set in addition to the caller-specified options. If TLS/SSL has been started, the LDAP BIND request is initiated with the caller-specified options.
-><b>Require signing.</b> This level is the same as Negotiate signing. However, if the LDAP server's intermediate saslBindInProgress response does not indicate that LDAP traffic signing is required, the caller is returned a message that the LDAP BIND command request failed.","https://docs.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/network-security-ldap-client-signing-requirements","","If you configure the client to require LDAP signatures, <b>it may fail to communicate with the LDAP servers that do not require requests to be signed.</b> To avoid this issue, make sure that both the Network security: LDAP client signing requirements and Domain controller: LDAP server signing requirements settings are set to Require signing.","Set both the Network security: LDAP client signing requirements and Domain controller: LDAP server signing requirements settings to Require signing. To avoid usage of unsigned traffic, set both client and server sides to require signing. Not setting one of the sides will prevent client computers from communicating with the server. <b> This can cause many features to fail, including user authentication, Group Policy, and logon scripts.</b>","Misuse of this policy setting is a common error that can cause data loss or problems with data access or security.","","Number : 0 (None);1 (Negotiate signing);2 (Require signature);Not Defined","Windows 10"
"1315","Security Options","Network security: Minimum session security for NTLM SSP based (including secure RPC) clients","Registry","","HKLM:\System\CurrentControlSet\Control\Lsa\MSV1_0","NTLMMinClientSec","","","","536870912","537395200","=","Medium","?","","","This policy setting allows a client device to require the negotiation of 128-bit encryption or NTLMv2 session security. These values are dependent on the Network security: LAN Manager Authentication Level policy setting value. 
-><b>None checked</b>:None. No security is used for session security.
-><b>Require message integrity</b>:Message integrity. If the value of either this entry or the NtlmMinServerSec entry is 0x10, then the connection will fail unless message integrity is negotiated.
-><b>Require message confidentiality</b>:Message confidentiality. If the value of either this entry or the NtlmMinServerSec entry is 0x20, then the connection will fail unless message confidentiality is negotiated.
-><b>Require NTLMv2 session security</b>:NTLMv2 session security. If the value of either this entry or the NtlmMinServerSec entry is 0x80000, then the connection will fail unless NTLMv2 session security is negotiated.
-><b>Require 128-bit encryption</b>:128-bit encryption. If the value of either this entry or the NtlmMinServerSec entry is 0x20000000, then the connection will fail unless 128-bit encryption is negotiated","https://docs.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/network-security-minimum-session-security-for-ntlm-ssp-based-including-secure-rpc-clients","","Client devices that enforce these settings cannot communicate with older servers that do not support them.","","<table>  <thead>    <th>Hex value</th>    <th>Decimal value</th>  </thead>  <tbody>    <tr>      <td> <code>0x0</code> </td>      <td> <code>0</code> </td>    </tr>    <tr>      <td> <code>0x10</code> </td>      <td> <code>16</code> </td>    </tr>    <tr>      <td> <code>0x20</code> </td>      <td> <code>32</code> </td>    </tr>    <tr>      <td> <code>0x80000</code> </td>      <td> <code>524288</code> </td></tr>    <tr>      <td> <code>0x20000000</code> </td>      <td> <code>536870912</code> </td>    </tr>  </tbody></table>","","Number : 0x0 (None checked);0x10 (Require message integrity);0x20 (Require message confidentiality);0x80000 (Require NTLMv2 session security);0x20000000 (Require 128-bit encryption)","Windows 10"
